运单号,车牌号,承运商,申报装货地,校准装货地,申报卸货地,校准卸货地,申报里程(km),校准里程(km),结论,风险等级
WB20260922027,鲁B3M579,远恒运输,青岛市北配送中心,青岛市北配送中心,济南历城仓,济南历城东部物流园6号仓,327,361,卸货地点需修正,中
WB20260922031,冀F21680,华北速运,北京顺义仓,北京顺义仓,石家庄栾城仓,石家庄栾城仓,292,305,里程已修正,低
WB20260922036,沪A12345,安捷物流,上海嘉定工厂,上海嘉定工厂,广州黄埔仓,广州黄埔仓,1510,1496,装货时间已修正,低
WB20260922042,川A6P82Q,西南联运,成都龙泉工厂,成都龙泉工厂,重庆江北仓,重庆江北仓,318,321,定位离线需人工复核,中
WB20260922045,皖K55821,顺达货运,合肥经开仓,合肥经开仓,南京江宁仓,南京江宁仓,182,179,合规,低
WB20260922048,苏E72018,苏南物流,苏州相城仓,苏州相城仓,杭州临平仓,杭州临平仓,168,171,合规,低
WB20260922052,粤B90877,华南运输,深圳龙岗仓,深圳龙岗仓,厦门海沧仓,厦门海沧仓,612,605,合规,低
WB20260922057,豫P67019,中原物流,郑州经开仓,郑州经开仓,武汉东西湖仓,武汉东西湖仓,498,503,合规,低
WB20260922061,浙A91766,东海运输,宁波港区仓,宁波港区仓,苏州工业园仓,苏州工业园仓,238,241,合规,低
WB20260922064,赣A36K82,赣运物流,南昌高新仓,南昌高新仓,长沙雨花仓,长沙雨花仓,342,339,合规,低
WB20260922069,闽D8Q521,海西货运,厦门同安仓,厦门同安仓,福州闽侯仓,福州闽侯仓,269,272,合规,低
WB20260922073,陕A52L90,西北联运,西安港务区仓,西安港务区仓,兰州新区仓,兰州新区仓,631,628,合规,低
